time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.31261166965e-07,-6.50108663373e-08,10.0024334609,6.28287571854,0.000145034428228,0.0,-1.19590485485e-05,-1.47687119845e-05,0.081112368671,-0.018257748178,0.00685988959193,0.0,430.2579237722193,430.83815712290937,431.9535321241266,430.4114572192415
0.12000000000000001,-6.12478732031e-06,-1.29109611014e-05,10.0139767334,6.28216053526,0.00033485111268,0.0,-0.000225481611759,-0.000519407195444,0.303629987561,-0.00156571724667,-0.00550325111522,0.0,474.83563188371795,473.8863746498442,473.40196597206557,474.6845073207813
0.18,-2.54545932719e-05,-6.66169284926e-05,10.0360741863,6.28184959644,6.28295014907,0.0,-0.000372586322328,-0.00129098778179,0.432911003382,-0.01362842327,-0.0190154951114,0.0,446.96941715078617,445.86713916800585,446.4945445689269,445.5095827593913
0.23999999999999996,-3.92175911993e-05,-0.000172783083667,10.0636701602,6.2809759433,6.281413554,0.0,3.63079313727e-05,-0.0023282949092,0.486932694414,-0.0164941696367,-0.0439966787647,0.0,422.8046930749814,420.64699147423784,422.9331492682803,422.6863870961372
0.3,1.2994190129e-05,-0.000365559787545,10.0973727836,6.27973839625,6.27837265787,0.0,0.00200856994716,-0.00421738006841,0.636415088558,-0.0305297748815,-0.0694396231292,0.0,452.8736828150857,450.82105743450995,453.91411280856624,452.7865198350161
0.36000000000000004,0.000237869406192,-0.000689731632512,10.1366694082,6.27760430015,6.27463195396,0.0,0.00585094971916,-0.00676961474583,0.67344803773,-0.048263025754,-0.050996407454,0.0,415.8095780564232,417.41870011708664,417.9158043619,416.3667460705185
0.4200000000000001,0.000771650809322,-0.00121840487761,10.1794514201,6.27477211952,6.27155007351,0.0,0.0122450565678,-0.0111357160168,0.752564997478,-0.0451637122934,-0.0521112924463,0.0,431.5369671415715,431.44108093245126,429.8179349511158,430.07905752243164
0.48000000000000015,0.00177677217948,-0.00208267573077,10.229120684,6.27303367999,6.26878262337,0.0,0.0215779889849,-0.0179032430456,0.902963734889,-0.0080673201324,-0.0362498839877,0.0,452.2207402095532,453.495133407185,452.1187044827625,455.09680822463235
0.5400000000000001,0.00334668946899,-0.00334735405188,10.2842316618,6.27228272854,6.26666441515,0.0,0.0309491937378,-0.0243073303281,0.934040031392,-0.0233620382875,-0.0334752198835,0.0,414.2804419994328,414.52366768618907,416.934986976034,415.59682087117994
0.6000000000000002,0.00559771354572,-0.00506572089701,10.3459543951,6.27032805343,6.26485771864,0.0,0.0443009912863,-0.0331451106143,1.12321146609,-0.0665359900889,-0.0241155134734,0.0,464.61923212593643,465.3521119689929,467.2524139561912,463.87405178647754
0.6600000000000003,0.00862149284214,-0.00732209551743,10.4153688456,6.2660244576,6.26369294674,0.0,0.0566158538561,-0.0424667182336,1.19052700579,-0.0849162577657,-0.0113634384786,0.0,427.281949716538,428.36759557582,428.45317072503514,426.8834526042445
0.7200000000000003,0.012414141428,-0.0102351838149,10.4893054766,6.2609417118,6.26269699118,0.0,0.0698844894821,-0.055141153147,1.27392594941,-0.0843081260303,-0.0299484353126,0.0,433.7246993979183,432.16120294875475,433.26274511431274,433.307776384618
0.7800000000000004,0.0170995168635,-0.014092417269,10.5717471206,6.25566778061,6.26129536881,0.0,0.0864734826193,-0.0740297174716,1.47387303184,-0.0962664826948,-0.0126727131969,0.0,468.5887918784923,469.92963326361223,469.7192401582299,468.7850005981076
0.8400000000000004,0.0227452328106,-0.0191287729862,10.6633097746,6.24967990639,6.26115068414,0.0,0.101754621799,-0.0944472813453,1.57805689529,-0.108002197439,0.0127331423815,0.0,440.41284280406563,442.5090394053711,440.0874507062309,439.1062749678141
0.9000000000000005,0.0292929350452,-0.0254971672135,10.7605409166,6.24325010738,6.26201245703,0.0,0.116417730847,-0.118472319819,1.66283818989,-0.105537595962,0.0174377969534,0.0,434.18717917534235,434.581569438299,434.9416570800321,435.1376469028612
0.9600000000000005,0.0366907814386,-0.0334155129387,10.8623418064,6.23675681285,6.26252466722,0.0,0.130085668384,-0.146091360566,1.7303977332,-0.114211424406,-0.0226731787757,0.0,431.6859388677932,428.2881414923682,429.3486704008268,428.60135460477085
1.0200000000000005,0.0450341010982,-0.0434078431728,10.9742300031,6.23058344231,6.26121381984,0.0,0.148185117729,-0.187784219847,1.99873074535,-0.0866098221239,-0.0202452885316,0.0,490.4001362484779,490.58046727066727,489.60741141158,491.6479853319493
1.0800000000000005,0.0544195070605,-0.055868621868,11.0987538651,6.22506548809,6.25956754398,0.0,0.164805093,-0.228145548076,2.15174790022,-0.105708315113,-0.0484485668846,0.0,459.3664671534078,457.1243602523781,457.80815303212955,456.2790021509304
1.1400000000000006,0.0648201373099,-0.0708156044899,11.2314032836,6.2193614392,6.25693906088,0.0,0.182165250984,-0.270698018326,2.26962001368,-0.0795161896951,-0.0358518618093,0.0,446.8604136676333,447.8849285995978,446.5705481677791,448.6938554529697
1.2000000000000006,0.0764402176572,-0.0887361695886,11.3758320645,6.21513676515,6.2554748661,0.0,0.205377885906,-0.327186703724,2.54404863875,-0.0565897644385,-0.00798151944525,0.0,493.64131435690933,495.693427234158,493.4361962083029,495.1222686064166
1.2600000000000007,0.0892923247542,-0.109677701363,11.5298509072,6.21167193231,6.2553119795,0.0,0.223050350333,-0.37118083394,2.58977732007,-0.0601677836594,0.00615412744831,0.0,425.9381994683983,427.14542187969414,426.3908245923516,426.08257934590614
