Unnamed: 0,manoeuvres_01_paddling,manoeuvres_02_drop,manoeuvres_03_straight_ahead,manoeuvres_04_wall_riding,manoeuvres_05_floater,manoeuvres_06_cut_back,manoeuvres_07_rasgada,manoeuvres_08_off_the_lip,manoeuvres_09_tube,manoeuvres_10_air,surfer_experience
78,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Consigo normalmente,Consigo normalmente,As vezes eu consigo,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Intermediário
80,Sempre consigo,Consigo normalmente,Consigo normalmente,Consigo normalmente,As vezes eu consigo,Ainda não consigo,Ainda não consigo,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Intermediário
81,Sempre consigo,As vezes eu consigo,Sempre consigo,Sempre consigo,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,Consigo normalmente,As vezes eu consigo,Ainda não consigo,Intermediário
82,,,,Não sei,Não sei,Não sei,Não sei,Não sei,Não sei,Não sei,Avançado
83,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Consigo normalmente,Sempre consigo,Consigo normalmente,Consigo normalmente,As vezes eu consigo,Ainda não consigo,Avançado
84,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Consigo normalmente,As vezes eu consigo,Consigo normalmente,Consigo normalmente,As vezes eu consigo,Ainda não consigo,Avançado
86,Consigo normalmente,Consigo normalmente,Sempre consigo,Consigo normalmente,Ainda não consigo,As vezes eu consigo,As vezes eu consigo,Consigo normalmente,Não sei,Não sei,Intermediário
87,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,As vezes eu consigo,Ainda não consigo,Avançado
88,Consigo normalmente,Consigo normalmente,,Consigo normalmente,As vezes eu consigo,Consigo normalmente,As vezes eu consigo,Consigo normalmente,Ainda não consigo,Não sei,Intermediário
90,Consigo normalmente,Consigo normalmente,As vezes eu consigo,Consigo normalmente,As vezes eu consigo,Ainda não consigo,As vezes eu consigo,As vezes eu consigo,Não sei,Não sei,Intermediário
91,Sempre consigo,Consigo normalmente,Sempre consigo,Consigo normalmente,As vezes eu consigo,Consigo normalmente,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,Ainda não consigo,Intermediário
92,,,,,,,,,,,Avançado
94,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Consigo normalmente,Consigo normalmente,Avançado
95,Consigo normalmente,As vezes eu consigo,As vezes eu consigo,Consigo normalmente,Ainda não consigo,Ainda não consigo,Ainda não consigo,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Intermediário
97,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Consigo normalmente,Consigo normalmente,As vezes eu consigo,As vezes eu consigo,Intermediário
98,As vezes eu consigo,As vezes eu consigo,Consigo normalmente,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Aprendiz
99,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,As vezes eu consigo,Consigo normalmente,Sempre consigo,Consigo normalmente,Ainda não consigo,Ainda não consigo,Avançado
101,Sempre consigo,Sempre consigo,Sempre consigo,,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,As vezes eu consigo,As vezes eu consigo,Avançado
102,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,As vezes eu consigo,Avançado
103,Consigo normalmente,Consigo normalmente,Sempre consigo,Sempre consigo,Consigo normalmente,Consigo normalmente,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,Ainda não consigo,Avançado
