Unnamed: 0,manoeuvres_01_paddling,manoeuvres_02_drop,manoeuvres_03_straight_ahead,manoeuvres_04_wall_riding,manoeuvres_05_floater,manoeuvres_06_cut_back,manoeuvres_07_rasgada,manoeuvres_08_off_the_lip,manoeuvres_09_tube,manoeuvres_10_air,surfer_experience
140,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Consigo normalmente,Consigo normalmente,Profissional
141,Consigo normalmente,Consigo normalmente,Sempre consigo,Sempre consigo,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,Não sei,Não sei,Intermediário
142,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Intermediário
143,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Consigo normalmente,Consigo normalmente,As vezes eu consigo,As vezes eu consigo,Não sei,Intermediário
144,Sempre consigo,Consigo normalmente,Consigo normalmente,Consigo normalmente,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,Ainda não consigo,Avançado
145,Sempre consigo,Sempre consigo,,Sempre consigo,As vezes eu consigo,Consigo normalmente,As vezes eu consigo,Consigo normalmente,As vezes eu consigo,Ainda não consigo,Avançado
146,Sempre consigo,Consigo normalmente,Consigo normalmente,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,As vezes eu consigo,Avançado
147,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,As vezes eu consigo,Avançado
148,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,As vezes eu consigo,Consigo normalmente,Consigo normalmente,Consigo normalmente,As vezes eu consigo,Ainda não consigo,Intermediário
149,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Ainda não consigo,Avançado
150,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,As vezes eu consigo,Ainda não consigo,Avançado
151,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,Não sei,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,,Intermediário
152,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,As vezes eu consigo,Ainda não consigo,Avançado
153,As vezes eu consigo,As vezes eu consigo,,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Intermediário
154,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,As vezes eu consigo,Intermediário
155,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Ainda não consigo,Ainda não consigo,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,Não sei,Intermediário
156,Sempre consigo,Sempre consigo,Consigo normalmente,Sempre consigo,Ainda não consigo,Consigo normalmente,As vezes eu consigo,As vezes eu consigo,Ainda não consigo,Não sei,Intermediário
157,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,As vezes eu consigo,Avançado
158,Sempre consigo,Sempre consigo,,Sempre consigo,As vezes eu consigo,Consigo normalmente,Sempre consigo,Consigo normalmente,As vezes eu consigo,Ainda não consigo,Avançado
159,Sempre consigo,Consigo normalmente,Sempre consigo,Consigo normalmente,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,Ainda não consigo,Intermediário
160,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Consigo normalmente,Consigo normalmente,Consigo normalmente,As vezes eu consigo,As vezes eu consigo,Ainda não consigo,Avançado
161,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Consigo normalmente,Sempre consigo,Sempre consigo,Ainda não consigo,Não sei,Avançado
162,Sempre consigo,Consigo normalmente,Sempre consigo,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Intermediário
163,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,As vezes eu consigo,Sempre consigo,Sempre consigo,Consigo normalmente,Ainda não consigo,Avançado
164,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,As vezes eu consigo,Ainda não consigo,Avançado
165,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,As vezes eu consigo,Ainda não consigo,Avançado
166,Sempre consigo,Consigo normalmente,Consigo normalmente,Consigo normalmente,As vezes eu consigo,Consigo normalmente,Consigo normalmente,As vezes eu consigo,As vezes eu consigo,Não sei,Intermediário
167,Sempre consigo,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,As vezes eu consigo,As vezes eu consigo,Ainda não consigo,Avançado
168,Consigo normalmente,Consigo normalmente,Consigo normalmente,As vezes eu consigo,Ainda não consigo,Ainda não consigo,As vezes eu consigo,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Intermediário
169,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Consigo normalmente,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,Sempre consigo,,Avançado
170,Consigo normalmente,Consigo normalmente,Sempre consigo,Sempre consigo,Não sei,Não sei,Ainda não consigo,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Intermediário
171,Sempre consigo,Consigo normalmente,Sempre consigo,Sempre consigo,Ainda não consigo,Consigo normalmente,As vezes eu consigo,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Intermediário
172,Sempre consigo,Sempre consigo,Não sei,Sempre consigo,Consigo normalmente,Sempre consigo,Consigo normalmente,Consigo normalmente,As vezes eu consigo,Ainda não consigo,Avançado
173,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Avançado
174,Sempre consigo,Consigo normalmente,Sempre consigo,Consigo normalmente,Ainda não consigo,Consigo normalmente,Consigo normalmente,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Intermediário
175,Sempre consigo,Sempre consigo,,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,,Avançado
176,Sempre consigo,Sempre consigo,Sempre consigo,Consigo normalmente,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Intermediário
177,Sempre consigo,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,As vezes eu consigo,As vezes eu consigo,Ainda não consigo,Avançado
178,Sempre consigo,Consigo normalmente,Não sei,Sempre consigo,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,Consigo normalmente,As vezes eu consigo,Ainda não consigo,Intermediário
,,,,,,,,,,,
